Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Reshna - Katalon2,Chrome 118.0.0.0,,,2023-10-31 15:39:08,2023-10-31 15:40:17,1m - 9.096s,PASSED
,,,,,,,
Test Cases/Katalon - Benefits test,Chrome 118.0.0.0,,,2023-10-31 15:39:08,2023-10-31 15:39:24,16.426s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 118.0.0.0,,,2023-10-31 15:39:08,2023-10-31 15:39:08,0.051s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-10-31 15:39:08,2023-10-31 15:39:12,4.023s,PASSED
"navigateToUrl(""https://katalon.com/"")",Chrome 118.0.0.0,,,2023-10-31 15:39:12,2023-10-31 15:39:15,2.830s,PASSED
maximizeWindow(),Chrome 118.0.0.0,,,2023-10-31 15:39:15,2023-10-31 15:39:15,0.335s,PASSED
"click(findTestObject(""Object Repository/Katalon/Page_Katalon AI-augmented Software Quality _596167/button_Accept All Cookies""))",Chrome 118.0.0.0,,,2023-10-31 15:39:15,2023-10-31 15:39:18,2.707s,PASSED
"click(findTestObject(""Object Repository/Katalon/Page_Katalon AI-augmented Software Quality _596167/div_View a demo""))",Chrome 118.0.0.0,,,2023-10-31 15:39:18,2023-10-31 15:39:21,2.643s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Katalon/Page_View a demo  Katalon/div_Seamless test automation with an end-to_9d1ee8""), 0)",Chrome 118.0.0.0,,,2023-10-31 15:39:21,2023-10-31 15:39:22,1.634s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Katalon/Page_View a demo  Katalon/div_Visibility throughout the test pipeline""), 0)",Chrome 118.0.0.0,,,2023-10-31 15:39:22,2023-10-31 15:39:23,0.341s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Katalon/Page_View a demo  Katalon/div_Centralized workflows to focus on softw_0ff7fc""), 0)",Chrome 118.0.0.0,,,2023-10-31 15:39:23,2023-10-31 15:39:23,0.314s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Katalon/Page_View a demo  Katalon/div_Low-code UI to keep everyone, tech or b_bd4e50""), 0)",Chrome 118.0.0.0,,,2023-10-31 15:39:23,2023-10-31 15:39:24,0.650s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Katalon/Page_View a demo  Katalon/div_Out-of-the-box fit for any ALM, CI tool_5242ad""), 0)",Chrome 118.0.0.0,,,2023-10-31 15:39:24,2023-10-31 15:39:24,0.300s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-10-31 15:39:24,2023-10-31 15:39:24,0.390s,PASSED
Start listener action : sampleAfterTestCase,Chrome 118.0.0.0,,,2023-10-31 15:39:24,2023-10-31 15:39:24,0.006s,PASSED
,,,,,,,
Test Cases/Katalon - Review star verification,Chrome 118.0.0.0,,,2023-10-31 15:39:24,2023-10-31 15:39:37,12.204s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 118.0.0.0,,,2023-10-31 15:39:24,2023-10-31 15:39:24,0.006s,PASSED
