Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Reshna - All TCs Suite,Chrome 118.0.0.0,,,2023-10-31 16:23:50,2023-10-31 16:32:36,8m - 46.014s,FAILED
,,,,,,,
Test Cases/Gmail - Try again with invalid login,Chrome 118.0.0.0,,,2023-10-31 16:23:50,2023-10-31 16:24:04,13.657s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 118.0.0.0,,,2023-10-31 16:23:50,2023-10-31 16:23:50,0.041s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-10-31 16:23:50,2023-10-31 16:23:53,2.891s,PASSED
"navigateToUrl(""https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AVQVeywjvDYoN5FDADVUpdLkv_4Dss1DZHwOFdZCBX9CuM3ITel-sS3Srk5PAoPo89chcvj7pJ2Kng&osid=1&passive=1209600&service=mail&flowName=GlifWebSignIn&flowEntry=ServiceLogin&dsh=S218891431%3A1698778883803894&theme=glif#inbox"")",Chrome 118.0.0.0,,,2023-10-31 16:23:53,2023-10-31 16:23:54,1.011s,PASSED
maximizeWindow(),Chrome 118.0.0.0,,,2023-10-31 16:23:54,2023-10-31 16:23:54,0.164s,PASSED
"setText(findTestObject(""Object Repository/Gmail/Page_Gmail/input_identifier""), ""abcxyz"")",Chrome 118.0.0.0,,,2023-10-31 16:23:54,2023-10-31 16:23:55,0.818s,PASSED
"click(findTestObject(""Object Repository/Gmail/Page_Gmail/span_Next""))",Chrome 118.0.0.0,,,2023-10-31 16:23:55,2023-10-31 16:23:57,1.467s,PASSED
"click(findTestObject(""Object Repository/Gmail/Page_Gmail/a_WpHeLc VfPpkd-mRLv6 VfPpkd-RLmnJb""))",Chrome 118.0.0.0,,,2023-10-31 16:23:57,2023-10-31 16:24:01,4.423s,PASSED
"setText(findTestObject(""Object Repository/Gmail/Page_Gmail/input_identifier""), ""abcxyz"")",Chrome 118.0.0.0,,,2023-10-31 16:24:01,2023-10-31 16:24:02,0.849s,PASSED
"click(findTestObject(""Object Repository/Gmail/Page_Gmail/span_Next""))",Chrome 118.0.0.0,,,2023-10-31 16:24:02,2023-10-31 16:24:02,0.479s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Gmail/Page_Gmail/a_WpHeLc VfPpkd-mRLv6 VfPpkd-RLmnJb_1""), 0)",Chrome 118.0.0.0,,,2023-10-31 16:24:02,2023-10-31 16:24:03,1.099s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-10-31 16:24:03,2023-10-31 16:24:04,0.251s,PASSED
Start listener action : sampleAfterTestCase,Chrome 118.0.0.0,,,2023-10-31 16:24:04,2023-10-31 16:24:04,0.003s,PASSED
,,,,,,,
Test Cases/Gmail - Verify the validation message,Chrome 118.0.0.0,,,2023-10-31 16:24:04,2023-10-31 16:24:09,4.925s,PASSED
