Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Reshna - Katalon Suite3,Chrome 118.0.0.0,,,2023-10-31 16:50:57,2023-10-31 16:52:02,1m - 5.151s,PASSED
,,,,,,,
Test Cases/Katalon - Learn More verification,Chrome 118.0.0.0,,,2023-10-31 16:50:58,2023-10-31 16:51:15,17.835s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 118.0.0.0,,,2023-10-31 16:50:58,2023-10-31 16:50:58,0.091s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-10-31 16:50:58,2023-10-31 16:51:03,4.696s,PASSED
"navigateToUrl(""https://katalon.com/"")",Chrome 118.0.0.0,,,2023-10-31 16:51:03,2023-10-31 16:51:06,3.424s,PASSED
maximizeWindow(),Chrome 118.0.0.0,,,2023-10-31 16:51:06,2023-10-31 16:51:06,0.200s,PASSED
"click(findTestObject(""Object Repository/Katalon/Page_Katalon AI-augmented Software Quality _596167/button_Accept All Cookies""))",Chrome 118.0.0.0,,,2023-10-31 16:51:06,2023-10-31 16:51:08,1.556s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Katalon/Page_Katalon AI-augmented Software Quality _596167/a_Learn more""))",Chrome 118.0.0.0,,,2023-10-31 16:51:08,2023-10-31 16:51:08,0.664s,PASSED
"click(findTestObject(""Object Repository/Katalon/Page_Katalon AI-augmented Software Quality _596167/a_Learn more""))",Chrome 118.0.0.0,,,2023-10-31 16:51:08,2023-10-31 16:51:12,3.127s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Katalon/Page_Katalon Studio 9.0.0 Performance Boost_5d349a/div_TABLE OF CONTENTS""), 0)",Chrome 118.0.0.0,,,2023-10-31 16:51:12,2023-10-31 16:51:12,0.920s,PASSED
"click(findTestObject(""Object Repository/Katalon/Page_Katalon Studio 9.0.0 Performance Boost_5d349a/a_Key performance improvements in Katalon S_185eed""))",Chrome 118.0.0.0,,,2023-10-31 16:51:12,2023-10-31 16:51:13,0.426s,PASSED
"rightClick(findTestObject(""Object Repository/Katalon/Page_Katalon Studio 9.0.0 Performance Boost_5d349a/strong_Key performance improvements in Kata_e75e1d""))",Chrome 118.0.0.0,,,2023-10-31 16:51:13,2023-10-31 16:51:14,0.882s,PASSED
"click(findTestObject(""Object Repository/Katalon/Page_Katalon Studio 9.0.0 Performance Boost_5d349a/strong_Key performance improvements in Kata_e75e1d""))",Chrome 118.0.0.0,,,2023-10-31 16:51:14,2023-10-31 16:51:14,0.381s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Katalon/Page_Katalon Studio 9.0.0 Performance Boost_5d349a/strong_Key performance improvements in Kata_e75e1d""))",Chrome 118.0.0.0,,,2023-10-31 16:51:14,2023-10-31 16:51:15,0.758s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-10-31 16:51:15,2023-10-31 16:51:15,0.413s,PASSED
Start listener action : sampleAfterTestCase,Chrome 118.0.0.0,,,2023-10-31 16:51:15,2023-10-31 16:51:15,0.007s,PASSED
,,,,,,,
Test Cases/Katalon Price Check,Chrome 118.0.0.0,,,2023-10-31 16:51:15,2023-10-31 16:51:31,15.565s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 118.0.0.0,,,2023-10-31 16:51:15,2023-10-31 16:51:15,0.005s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-10-31 16:51:15,2023-10-31 16:51:18,2.786s,PASSED
"navigateToUrl(""https://katalon.com/"")",Chrome 118.0.0.0,,,2023-10-31 16:51:18,2023-10-31 16:51:21,3.049s,PASSED
maximizeWindow(),Chrome 118.0.0.0,,,2023-10-31 16:51:21,2023-10-31 16:51:21,0.139s,PASSED
"click(findTestObject(""Object Repository/Katalon/Page_Katalon AI-augmented Software Quality _596167/button_Accept All Cookies""))",Chrome 118.0.0.0,,,2023-10-31 16:51:21,2023-10-31 16:51:23,1.837s,PASSED
