Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Reshna - All TCs Suite1,Chrome 118.0.0.0,,,2023-11-01 14:48:45,2023-11-01 15:01:13,12m - 27.059s,FAILED
,,,,,,,
Test Cases/Gmail - Try again with invalid login,Chrome 118.0.0.0,,,2023-11-01 14:48:46,2023-11-01 14:49:01,14.951s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 118.0.0.0,,,2023-11-01 14:48:46,2023-11-01 14:48:46,0.115s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-11-01 14:48:46,2023-11-01 14:48:51,4.610s,PASSED
"navigateToUrl(""https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AVQVeywjvDYoN5FDADVUpdLkv_4Dss1DZHwOFdZCBX9CuM3ITel-sS3Srk5PAoPo89chcvj7pJ2Kng&osid=1&passive=1209600&service=mail&flowName=GlifWebSignIn&flowEntry=ServiceLogin&dsh=S218891431%3A1698778883803894&theme=glif#inbox"")",Chrome 118.0.0.0,,,2023-11-01 14:48:51,2023-11-01 14:48:52,1.183s,PASSED
maximizeWindow(),Chrome 118.0.0.0,,,2023-11-01 14:48:52,2023-11-01 14:48:52,0.221s,PASSED
"setText(findTestObject(""Object Repository/Gmail/Page_Gmail/input_identifier""), ""abcxyz"")",Chrome 118.0.0.0,,,2023-11-01 14:48:52,2023-11-01 14:48:53,1.182s,PASSED
"click(findTestObject(""Object Repository/Gmail/Page_Gmail/span_Next""))",Chrome 118.0.0.0,,,2023-11-01 14:48:53,2023-11-01 14:48:55,1.780s,PASSED
"click(findTestObject(""Object Repository/Gmail/Page_Gmail/a_WpHeLc VfPpkd-mRLv6 VfPpkd-RLmnJb""))",Chrome 118.0.0.0,,,2023-11-01 14:48:55,2023-11-01 14:48:58,2.699s,PASSED
"setText(findTestObject(""Object Repository/Gmail/Page_Gmail/input_identifier""), ""abcxyz"")",Chrome 118.0.0.0,,,2023-11-01 14:48:58,2023-11-01 14:48:59,0.851s,PASSED
"click(findTestObject(""Object Repository/Gmail/Page_Gmail/span_Next""))",Chrome 118.0.0.0,,,2023-11-01 14:48:59,2023-11-01 14:48:59,0.514s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Gmail/Page_Gmail/a_WpHeLc VfPpkd-mRLv6 VfPpkd-RLmnJb_1""), 0)",Chrome 118.0.0.0,,,2023-11-01 14:48:59,2023-11-01 14:49:00,1.014s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-11-01 14:49:00,2023-11-01 14:49:01,0.390s,PASSED
Start listener action : sampleAfterTestCase,Chrome 118.0.0.0,,,2023-11-01 14:49:01,2023-11-01 14:49:01,0.007s,PASSED
,,,,,,,
Test Cases/Gmail - Verify the validation message,Chrome 118.0.0.0,,,2023-11-01 14:49:01,2023-11-01 14:49:09,7.744s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 118.0.0.0,,,2023-11-01 14:49:01,2023-11-01 14:49:01,0.006s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-11-01 14:49:01,2023-11-01 14:49:05,3.831s,PASSED
"navigateToUrl(""https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AVQVeyzR6pw5d28fypnZRPD2z3UMAtruQJTmGrturMB1BE3plFqEShDNo4O4MTXu67xx9JFqi_TIZw&osid=1&passive=1209600&service=mail&flowName=GlifWebSignIn&flowEntry=ServiceLogin&dsh=S1292309958%3A1698780033683571&theme=glif#inbox"")",Chrome 118.0.0.0,,,2023-11-01 14:49:05,2023-11-01 14:49:07,1.714s,PASSED
maximizeWindow(),Chrome 118.0.0.0,,,2023-11-01 14:49:07,2023-11-01 14:49:07,0.430s,PASSED
