Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Reshna - PMI Suite2,Chrome 118.0.0.0,,,2023-11-01 17:17:21,2023-11-01 17:17:36,15.267s,PASSED
,,,,,,,
Test Cases/PMI - Verify the spanish language in PMI,Chrome 118.0.0.0,,,2023-11-01 17:17:21,2023-11-01 17:17:36,14.987s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 118.0.0.0,,,2023-11-01 17:17:21,2023-11-01 17:17:21,0.059s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-11-01 17:17:21,2023-11-01 17:17:25,3.657s,PASSED
"navigateToUrl(""https://www.pmi.org/certifications"")",Chrome 118.0.0.0,,,2023-11-01 17:17:25,2023-11-01 17:17:29,3.981s,PASSED
maximizeWindow(),Chrome 118.0.0.0,,,2023-11-01 17:17:29,2023-11-01 17:17:29,0.220s,PASSED
"click(findTestObject(""Object Repository/PMI/Page_Certifications  PMI/span_OK""))",Chrome 118.0.0.0,,,2023-11-01 17:17:29,2023-11-01 17:17:32,2.403s,PASSED
"click(findTestObject(""Object Repository/PMI/Page_Certifications  PMI/a_Ver en Espaol""))",Chrome 118.0.0.0,,,2023-11-01 17:17:32,2023-11-01 17:17:35,3.408s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/PMI/Page_Just a moment/h1_www.pmi.org""), 0)",Chrome 118.0.0.0,,,2023-11-01 17:17:35,2023-11-01 17:17:36,0.635s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-11-01 17:17:36,2023-11-01 17:17:36,0.387s,PASSED
Start listener action : sampleAfterTestCase,Chrome 118.0.0.0,,,2023-11-01 17:17:36,2023-11-01 17:17:36,0.004s,PASSED
